time,open,high,low,close
2020-01-03T17:12:00.000000000Z,1.11729,1.11732,1.11718,1.11718
2020-01-03T17:13:00.000000000Z,1.11715,1.11720,1.11713,1.11720
2020-01-03T17:14:00.000000000Z,1.11723,1.11730,1.11723,1.11728
2020-01-03T17:15:00.000000000Z,1.11726,1.11730,1.11723,1.11728
2020-01-03T17:16:00.000000000Z,1.11726,1.11734,1.11721,1.11732
2020-01-03T17:17:00.000000000Z,1.11735,1.11737,1.11733,1.11735
2020-01-03T17:18:00.000000000Z,1.11733,1.11733,1.11721,1.11722
2020-01-03T17:19:00.000000000Z,1.11724,1.11726,1.11715,1.11719
2020-01-03T17:20:00.000000000Z,1.11721,1.11726,1.11720,1.11720
2020-01-03T17:21:00.000000000Z,1.11723,1.11735,1.11723,1.11732
2020-01-03T17:22:00.000000000Z,1.11730,1.11730,1.11730,1.11730
2020-01-03T17:23:00.000000000Z,1.11728,1.11728,1.11715,1.11715
2020-01-03T17:24:00.000000000Z,1.11713,1.11713,1.11710,1.11710
2020-01-03T17:25:00.000000000Z,1.11712,1.11718,1.11712,1.11715
2020-01-03T17:26:00.000000000Z,1.11718,1.11718,1.11708,1.11710
2020-01-03T17:27:00.000000000Z,1.11712,1.11716,1.11712,1.11716
2020-01-03T17:28:00.000000000Z,1.11718,1.11724,1.11716,1.11716
2020-01-03T17:29:00.000000000Z,1.11713,1.11726,1.11713,1.11726
2020-01-03T17:30:00.000000000Z,1.11724,1.11726,1.11721,1.11724
2020-01-03T17:31:00.000000000Z,1.11726,1.11726,1.11724,1.11726
2020-01-03T17:32:00.000000000Z,1.11728,1.11728,1.11718,1.11718
2020-01-03T17:33:00.000000000Z,1.11715,1.11720,1.11715,1.11716
2020-01-03T17:34:00.000000000Z,1.11713,1.11713,1.11697,1.11702
2020-01-03T17:35:00.000000000Z,1.11700,1.11712,1.11700,1.11702
2020-01-03T17:37:00.000000000Z,1.11700,1.11702,1.11700,1.11702
2020-01-03T17:38:00.000000000Z,1.11700,1.11702,1.11688,1.11691
2020-01-03T17:39:00.000000000Z,1.11693,1.11693,1.11693,1.11693
2020-01-03T17:40:00.000000000Z,1.11695,1.11695,1.11688,1.11691
2020-01-03T17:41:00.000000000Z,1.11693,1.11693,1.11678,1.11687
2020-01-03T17:42:00.000000000Z,1.11689,1.11722,1.11689,1.11722
2020-01-03T17:43:00.000000000Z,1.11720,1.11720,1.11716,1.11716
2020-01-03T17:44:00.000000000Z,1.11713,1.11713,1.11710,1.11712
2020-01-03T17:45:00.000000000Z,1.11714,1.11720,1.11714,1.11718
2020-01-03T17:46:00.000000000Z,1.11716,1.11720,1.11716,1.11720
2020-01-03T17:47:00.000000000Z,1.11718,1.11718,1.11715,1.11715
2020-01-03T17:48:00.000000000Z,1.11713,1.11713,1.11713,1.11713
2020-01-03T17:49:00.000000000Z,1.11715,1.11718,1.11713,1.11713
2020-01-03T17:50:00.000000000Z,1.11716,1.11718,1.11716,1.11718
2020-01-03T17:51:00.000000000Z,1.11720,1.11734,1.11720,1.11732
2020-01-03T17:52:00.000000000Z,1.11734,1.11734,1.11730,1.11732
2020-01-03T17:53:00.000000000Z,1.11730,1.11734,1.11726,1.11726
2020-01-03T17:54:00.000000000Z,1.11728,1.11728,1.11716,1.11716
2020-01-03T17:55:00.000000000Z,1.11718,1.11718,1.11716,1.11716
2020-01-03T17:56:00.000000000Z,1.11718,1.11720,1.11713,1.11715
2020-01-03T17:57:00.000000000Z,1.11718,1.11718,1.11716,1.11716
2020-01-03T17:58:00.000000000Z,1.11713,1.11713,1.11708,1.11710
2020-01-03T17:59:00.000000000Z,1.11712,1.11726,1.11712,1.11724
2020-01-03T18:00:00.000000000Z,1.11722,1.11722,1.11719,1.11722
2020-01-03T18:01:00.000000000Z,1.11719,1.11721,1.11719,1.11719
2020-01-03T18:02:00.000000000Z,1.11721,1.11721,1.11707,1.11710
2020-01-03T18:03:00.000000000Z,1.11708,1.11716,1.11708,1.11716
2020-01-03T18:04:00.000000000Z,1.11714,1.11714,1.11708,1.11708
2020-01-03T18:05:00.000000000Z,1.11706,1.11711,1.11706,1.11711
2020-01-03T18:06:00.000000000Z,1.11714,1.11722,1.11714,1.11722
2020-01-03T18:07:00.000000000Z,1.11719,1.11730,1.11719,1.11727
2020-01-03T18:08:00.000000000Z,1.11730,1.11734,1.11730,1.11732
2020-01-03T18:09:00.000000000Z,1.11730,1.11730,1.11724,1.11727
2020-01-03T18:10:00.000000000Z,1.11729,1.11732,1.11727,1.11727
2020-01-03T18:11:00.000000000Z,1.11725,1.11726,1.11722,1.11726
2020-01-03T18:12:00.000000000Z,1.11724,1.11730,1.11722,1.11727
2020-01-03T18:15:00.000000000Z,1.11725,1.11725,1.11720,1.11720
2020-01-03T18:16:00.000000000Z,1.11722,1.11728,1.11720,1.11720
2020-01-03T18:17:00.000000000Z,1.11722,1.11724,1.11720,1.11720
2020-01-03T18:18:00.000000000Z,1.11722,1.11727,1.11722,1.11722
2020-01-03T18:19:00.000000000Z,1.11724,1.11727,1.11718,1.11718
2020-01-03T18:20:00.000000000Z,1.11715,1.11718,1.11715,1.11718
2020-01-03T18:21:00.000000000Z,1.11720,1.11720,1.11718,1.11720
2020-01-03T18:22:00.000000000Z,1.11718,1.11718,1.11712,1.11718
2020-01-03T18:23:00.000000000Z,1.11720,1.11727,1.11710,1.11710
2020-01-03T18:24:00.000000000Z,1.11708,1.11708,1.11701,1.11701
2020-01-03T18:25:00.000000000Z,1.11699,1.11702,1.11699,1.11702
2020-01-03T18:26:00.000000000Z,1.11704,1.11704,1.11702,1.11702
2020-01-03T18:27:00.000000000Z,1.11704,1.11709,1.11704,1.11709
2020-01-03T18:28:00.000000000Z,1.11707,1.11712,1.11706,1.11706
2020-01-03T18:29:00.000000000Z,1.11704,1.11704,1.11702,1.11702
2020-01-03T18:30:00.000000000Z,1.11700,1.11700,1.11682,1.11688
2020-01-03T18:31:00.000000000Z,1.11686,1.11693,1.11683,1.11683
2020-01-03T18:32:00.000000000Z,1.11680,1.11680,1.11680,1.11680
2020-01-03T18:33:00.000000000Z,1.11682,1.11687,1.11682,1.11682
2020-01-03T18:34:00.000000000Z,1.11680,1.11690,1.11680,1.11690
2020-01-03T18:35:00.000000000Z,1.11692,1.11697,1.11688,1.11689
2020-01-03T18:36:00.000000000Z,1.11692,1.11694,1.11689,1.11692
2020-01-03T18:37:00.000000000Z,1.11694,1.11706,1.11692,1.11699
2020-01-03T18:38:00.000000000Z,1.11701,1.11716,1.11699,1.11707
2020-01-03T18:39:00.000000000Z,1.11705,1.11705,1.11677,1.11677
2020-01-03T18:40:00.000000000Z,1.11674,1.11687,1.11664,1.11673
2020-01-03T18:41:00.000000000Z,1.11671,1.11676,1.11668,1.11673
2020-01-03T18:42:00.000000000Z,1.11671,1.11672,1.11664,1.11672
2020-01-03T18:43:00.000000000Z,1.11676,1.11687,1.11674,1.11687
2020-01-03T18:44:00.000000000Z,1.11689,1.11689,1.11680,1.11683
